country,patent_count,avg_grant_lag_days,avg_grant_lag_years,min_lag_days,max_lag_days
US,5029646,938.0,2.57,7,15938
JP,1575316,979.0,2.68,5,7694
DE,618995,1052.0,2.88,33,10611
CN,488508,925.0,2.53,50,6469
KR,433325,999.0,2.73,68,7483
TW,321924,804.0,2.2,67,5198
GB,289021,1071.0,2.93,12,12650
CA,263075,986.0,2.7,58,11397
FR,246592,1094.0,3.0,18,8152
CH,117903,1044.0,2.86,2,7144
IN,116255,1036.0,2.84,53,5978
IT,110795,1014.0,2.78,70,6203
NL,99201,1104.0,3.02,47,7109
IL,97595,1088.0,2.98,3,6496
SE,94619,1141.0,3.12,67,6367
AU,73642,1082.0,2.96,12,12650
BE,51174,1103.0,3.02,78,8793
AT,47945,1064.0,2.91,92,5808
FI,44986,1224.0,3.35,85,7148
DK,37135,1127.0,3.09,96,6215
SG,36989,1038.0,2.84,69,5097
ES,29260,1135.0,3.11,77,5592
IE,23395,1094.0,2.99,103,9750
RU,19218,1038.0,2.84,75,5573
NO,18501,1177.0,3.22,53,6418
SA,14789,802.0,2.2,60,4424
BR,12645,1083.0,2.97,104,4841
NZ,12539,1093.0,2.99,89,6235
MX,9355,952.0,2.61,18,5036
ZA,8219,1033.0,2.83,103,5086
MY,8162,1008.0,2.76,96,5667
CM,7899,996.0,2.73,110,5016
PL,7505,1064.0,2.91,117,4128
CZ,7343,1033.0,2.83,89,5842
HU,6837,1123.0,3.08,111,5151
UG,4660,935.0,2.56,109,4346
TR,3902,1151.0,3.15,105,5472
AR,3748,1017.0,2.78,119,4340
LU,3654,943.0,2.58,120,5110
GR,3514,1138.0,3.12,132,4386
