year,patent_count,avg_grant_lag_days,avg_grant_lag_years
1976,71044,622.0,1.7
1977,71540,657.0,1.8
1978,71040,732.0,2.0
1979,71116,754.0,2.06
1980,72127,789.0,2.16
1981,69238,848.0,2.32
1982,70780,850.0,2.33
1983,67610,814.0,2.23
1984,73584,763.0,2.09
1985,78465,723.0,1.98
1986,81993,697.0,1.91
1987,89153,669.0,1.83
1988,98278,647.0,1.77
1989,104476,648.0,1.78
1990,108558,653.0,1.79
1991,109590,661.0,1.81
1992,113341,669.0,1.83
1993,118361,693.0,1.9
1994,135172,733.0,2.01
1995,157408,816.0,2.24
1996,158421,800.0,2.19
1997,184232,820.0,2.24
1998,183953,862.0,2.36
1999,197135,901.0,2.47
2000,214632,992.0,2.72
2001,228021,1044.0,2.86
2002,228953,1091.0,2.99
2003,220579,1199.0,3.28
2004,221454,1295.0,3.54
2005,226484,1346.0,3.68
2006,231706,1370.0,3.75
2007,240271,1350.0,3.7
2008,241976,1306.0,3.58
2009,233383,1232.0,3.37
2010,248378,1151.0,3.15
2011,268844,1099.0,3.01
2012,294133,1044.0,2.86
2013,313032,1036.0,2.84
2014,322929,1015.0,2.78
2015,335484,980.0,2.68
2016,347454,958.0,2.62
2017,362653,939.0,2.57
2018,367908,933.0,2.55
2019,388318,927.0,2.54
2020,361312,908.0,2.49
2021,318982,861.0,2.36
2022,250221,729.0,1.99
2023,155607,548.0,1.5
2024,54392,348.0,0.95
2025,4733,154.0,0.42
