cpc_section,patent_id,title,year,filing_date
A,12285667,Apparatus for affixing an IMU to the face of a golf club for sensor calibration and club measurement,2025,2025-01-07
A,12286256,Method for storing objects by balloon and inserting tube,2025,2025-02-02
A,12290048,Pet elizabethan collar,2025,2025-01-03
A,12290152,Fastening system and method(s),2025,2025-02-04
A,12290289,Elastic intramedullary fixation device,2025,2025-01-10
B,12275230,Nano-silica composite thermal insulation material and preparation method therefor,2025,2025-01-06
B,12276450,Rechargeable thermal battery systems for use in transporting or storing perishable items,2025,2025-01-06
B,12282528,Systems and methods of sensor data fusion,2025,2025-01-16
B,12285730,Milk frothing head and frother,2025,2025-01-17
B,12285974,Wheel unit and wheel-type mobile body,2025,2025-01-08
C,12252445,Electrically conductive boron-containing material with heat and impact resistance,2025,2025-01-06
C,12290884,Solder paste and solder joint,2025,2025-01-14
C,12297122,Synthesis of nanosized cubic lithium lanthanum zirconate fast ion conductor,2025,2025-01-10
C,12298313,Methods for detecting AAV,2025,2025-01-08
C,12305006,Methods for catalytically degrading polyolefin plastics at low temperatures,2025,2025-01-03
D,12325771,Preparation method for biobased polyurethane elastic fibers,2025,2025-03-28
D,12338048,Biodegradable pulp packaging products from natural fibers,2025,2025-02-26
D,12344963,Method for producing yarn from sugarcane,2025,2025-01-15
D,12371608,Suspended sand dragging fibers and preparation methods thereof,2025,2025-03-25
D,12376676,Detachable folding bookshelf,2025,2025-01-06
E,12297646,Reinforced porcelain panel product fabrication methods for enhanced structural protection,2025,2025-01-08
E,12297647,Reinforced porcelain panel product kit for shower installation,2025,2025-01-08
E,12305654,Fully automatic device for pumping cold air into block-stone subgrade,2025,2025-01-13
E,12305917,Method for determining drying of food waste disposer,2025,2025-01-08
E,12310353,Portable treestand and climbing stick system,2025,2025-01-17
F,12276450,Rechargeable thermal battery systems for use in transporting or storing perishable items,2025,2025-01-06
F,12287139,Rechargeable thermal battery systems for use in transporting or storing perishable items,2025,2025-01-06
F,12287508,Luminous board,2025,2025-01-17
F,12292100,"Adjustment mechanism, armrest, and seat",2025,2025-01-08
F,12295125,Efficient thermal control system for microcircuit based on liquid metal coolant,2025,2025-01-15
G,12271651,"Method, system and apparatus for accessing a user interface of a mobile computer",2025,2025-01-21
G,12272098,"Positioning method, positioning device, and processing method for wafer",2025,2025-01-02
G,12273614,Camera system for conditional recording,2025,2025-01-09
G,12276642,Stress blank angle eliminating device and method for dynamic true triaxial electromagnetic Hopkinson bar,2025,2025-01-14
G,12282528,Systems and methods of sensor data fusion,2025,2025-01-16
H,12252445,Electrically conductive boron-containing material with heat and impact resistance,2025,2025-01-06
H,12261016,Electron detection device and scanning electron microscope,2025,2025-01-03
H,12271651,"Method, system and apparatus for accessing a user interface of a mobile computer",2025,2025-01-21
H,12273614,Camera system for conditional recording,2025,2025-01-09
H,12278023,"Insulated wire and preparation method therefor, winding wire, and electrical device",2025,2025-01-06
Y,12276450,Rechargeable thermal battery systems for use in transporting or storing perishable items,2025,2025-01-06
Y,12276642,Stress blank angle eliminating device and method for dynamic true triaxial electromagnetic Hopkinson bar,2025,2025-01-14
Y,12287139,Rechargeable thermal battery systems for use in transporting or storing perishable items,2025,2025-01-06
Y,12292419,Dynamic true triaxial electromagnetic Hopkinson bar leveling and centering system and method,2025,2025-01-14
Y,12297122,Synthesis of nanosized cubic lithium lanthanum zirconate fast ion conductor,2025,2025-01-10
