cpc_section,country,patent_count
A,US,1004756
A,JP,115252
A,DE,97764
A,GB,58880
A,CN,50775
B,US,905621
B,JP,334714
B,DE,171699
B,FR,56685
B,KR,50004
C,US,668435
C,JP,209761
C,DE,118034
C,GB,51710
C,FR,50992
D,US,53662
D,DE,15530
D,JP,15448
D,KR,5044
D,CH,4255
E,US,201607
E,DE,18636
E,JP,17176
E,CA,16042
E,GB,12995
F,US,453603
F,JP,145460
F,DE,95138
F,FR,30892
F,GB,28472
G,US,1616412
G,JP,603573
G,CN,169652
G,KR,158843
G,DE,151172
H,US,1350953
H,JP,595830
H,KR,224142
H,CN,197662
H,TW,154852
Y,US,816766
Y,JP,262742
Y,DE,116673
Y,KR,58011
Y,CN,53305
